ASIN,end_time,product_name,reading_marketplace,start_time,total_reading_milliseconds
B002RI9176,2025-09-22T01:23:41.900Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-22T01:23:09.900Z,32000
B002RI9176,2025-09-21T05:26:28.200Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T05:19:44.100Z,404100
B002RI9176,2025-09-21T05:19:36.200Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T05:12:11.400Z,444800
B002RI9176,2025-09-21T04:56:48.100Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T04:41:46.200Z,901900
B002RI9176,2025-09-21T04:33:33Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T04:32:53.600Z,39400
B002RI9176,2025-09-21T04:30:58.600Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T04:17:21.400Z,817200
B002RI9176,2025-09-21T04:16:51.600Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T04:11:19.200Z,332400
B002RI9176,2025-09-21T04:10:44.900Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T04:10:32.600Z,12300
B002RI9176,2025-09-21T04:08:55.200Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T04:08:31.100Z,24100
B002RI9176,2025-09-21T04:07:16.100Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T04:05:27.600Z,108500
B002RI9176,2025-09-21T04:04:24.400Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T04:04:08.500Z,15900
B002RI9176,2025-09-21T04:03:06.200Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T04:02:58.200Z,8000
B002RI9176,2025-09-21T04:02:51.900Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T04:02:10.400Z,41500
B002RI9176,2025-09-21T03:23:43.100Z,The Lord of the Rings: The classic fantasy masterpiece,www.amazon.com.br,2025-09-21T03:23:34.400Z,8700
